Carrier,Day,DepTime,Dest,Origin,Weather,Delayed
OH,WED,1455,JFK,BWI,0,0
DH,WED,1640,JFK,DCA,0,0
DH,WED,1245,LGA,IAD,0,0
DH,WED,1709,LGA,IAD,0,0
DH,WED,1035,LGA,IAD,0,0
DH,WED,839,JFK,IAD,0,0
DH,WED,1243,JFK,IAD,0,0
DH,WED,1644,JFK,IAD,0,0
DH,WED,1710,JFK,IAD,0,0
DH,WED,2129,JFK,IAD,0,0
DH,WED,2114,LGA,IAD,0,0
DL,WED,1458,JFK,DCA,0,0
DL,WED,932,LGA,DCA,0,0
DL,WED,1228,LGA,DCA,0,0
DL,WED,1429,LGA,DCA,0,0
DL,WED,1728,LGA,DCA,0,0
DL,WED,2029,LGA,DCA,0,0
MQ,WED,1525,JFK,DCA,0,0
MQ,WED,556,JFK,DCA,0,0
MQ,WED,1822,JFK,DCA,0,0
MQ,WED,853,LGA,DCA,0,0
MQ,WED,1254,LGA,DCA,0,0
MQ,WED,1356,LGA,DCA,0,0
MQ,WED,1452,LGA,DCA,0,0
MQ,WED,1853,LGA,DCA,0,0
UA,WED,841,LGA,IAD,0,0
US,WED,858,LGA,DCA,0,0
US,WED,1056,LGA,DCA,0,0
US,WED,1253,LGA,DCA,0,0
US,WED,1458,LGA,DCA,0,0
US,WED,1655,LGA,DCA,0,0
US,WED,2055,LGA,DCA,0,0
RU,WED,1452,EWR,BWI,0,0
RU,WED,1710,EWR,BWI,0,0
RU,WED,1030,EWR,BWI,0,0
RU,WED,656,EWR,BWI,0,0
CO,WED,1256,EWR,DCA,0,0
CO,WED,1726,EWR,DCA,0,0
DH,WED,840,EWR,IAD,0,0
DH,WED,1704,EWR,IAD,0,0
DH,WED,1245,EWR,IAD,0,0
DH,WED,2118,EWR,IAD,0,0
RU,WED,1651,EWR,IAD,0,0
RU,WED,1850,EWR,IAD,0,0
RU,WED,1521,EWR,DCA,0,0
RU,WED,1855,EWR,DCA,0,0
RU,WED,1357,EWR,DCA,0,0
RU,WED,1508,EWR,IAD,0,0
RU,WED,1255,EWR,IAD,0,0
RU,WED,1625,EWR,DCA,0,0
OH,THUR,1455,JFK,BWI,0,0
DH,THUR,1641,JFK,DCA,0,0
DH,THUR,1249,LGA,IAD,0,0
DH,THUR,1531,LGA,IAD,0,1
DH,THUR,1712,LGA,IAD,0,0
DH,THUR,645,LGA,IAD,0,0
DH,THUR,1236,LGA,IAD,0,1
DH,THUR,859,JFK,IAD,0,0
DH,THUR,1232,JFK,IAD,0,0
